,Unnamed: 0,Wall time,Step,Value,run,fold,split,objective,loss
1371,6,1721264234.705134,7,0.0672169178724289,CND,0,val,vap,0.0672169178724289
1387,2,1721299828.2247307,3,0.0651227384805679,CND,1,val,vap,0.0651227384805679
1383,8,1721393821.5380628,9,0.0638627931475639,CND,2,val,vap,0.0638627931475639
1361,6,1721440852.0279007,7,0.0675690695643425,CND,3,val,vap,0.0675690695643425
1350,5,1721493762.7076387,6,0.0651474744081497,CND,4,val,vap,0.0651474744081497
988,8,1724357226.5488665,9,0.0570135302841663,CND_multimodal_audio_only,0,val,vap,0.0570135302841663
995,5,1724385920.0905013,6,0.0562250390648841,CND_multimodal_audio_only,1,val,vap,0.0562250390648841
955,5,1724426939.2910144,6,0.0589920468628406,CND_multimodal_audio_only,2,val,vap,0.0589920468628406
961,1,1724451503.7362237,2,0.0569092221558094,CND_multimodal_audio_only,3,val,vap,0.0569092221558094
976,6,1724512961.5130415,7,0.0551672466099262,CND_multimodal_audio_only,4,val,vap,0.0551672466099262
1172,2,1724685162.1546402,3,0.1250500380992889,CND_multimodal_early_fusion,0,val,vap,0.1250500380992889
1157,7,1724821942.201424,8,0.1072607338428497,CND_multimodal_early_fusion,1,val,vap,0.1072607338428497
1181,1,1724865466.988521,2,0.1125212833285331,CND_multimodal_early_fusion,2,val,vap,0.1125212833285331
1198,8,1725020170.08621,9,0.1176151484251022,CND_multimodal_early_fusion,3,val,vap,0.1176151484251022
1161,1,1725047820.2586217,2,0.1080337688326835,CND_multimodal_early_fusion,4,val,vap,0.1080337688326835
768,8,1724341376.1831243,9,0.1230069398880004,CND_multimodal_late_fusion,0,val,vap,0.1230069398880004
775,5,1724410117.301743,6,0.1125663220882415,CND_multimodal_late_fusion,1,val,vap,0.1125663220882415
754,4,1724498841.235334,5,0.1220996379852294,CND_multimodal_late_fusion,2,val,vap,0.1220996379852294
797,7,1724627158.8742745,8,0.1073478162288665,CND_multimodal_late_fusion,3,val,vap,0.1073478162288665
787,7,1724725473.4003315,8,0.1174772903323173,CND_multimodal_late_fusion,4,val,vap,0.1174772903323173
583,3,1729708191.8943608,4,0.0712027326226234,CND_video_only,0,val,vap,0.0712027326226234
556,6,1729741243.0162532,7,0.0702285170555114,CND_video_only,1,val,vap,0.0702285170555114
563,3,1729758253.927837,4,0.0731872469186782,CND_video_only,2,val,vap,0.0731872469186782
574,4,1729831932.5815244,5,0.0744769722223281,CND_video_only,3,val,vap,0.0744769722223281
590,0,1729912234.108246,1,0.0746910795569419,CND_video_only,4,val,vap,0.0746910795569419
159,9,1721154469.477964,10,0.0596454963088035,SWB_ASR,0,val,vap,0.0596454963088035
198,8,1721169638.927045,9,0.0608050487935543,SWB_ASR,1,val,vap,0.0608050487935543
168,8,1721186457.8583326,9,0.0546061731874942,SWB_ASR,2,val,vap,0.0546061731874942
171,1,1721191514.7968946,2,0.0599935464560985,SWB_ASR,3,val,vap,0.0599935464560985
180,0,1721206691.2700307,1,0.0605189986526966,SWB_ASR,4,val,vap,0.0605189986526966
1570,5,1721156765.514285,6,0.0784082263708114,SWB_GT,0,val,vap,0.0784082263708114
1563,8,1721198124.974724,9,0.079529732465744,SWB_GT,1,val,vap,0.079529732465744
1593,8,1721230608.7090778,9,0.0756962746381759,SWB_GT,2,val,vap,0.0756962746381759
1576,1,1721240096.4078834,2,0.0812788754701614,SWB_GT,3,val,vap,0.0812788754701614
1554,9,1721297631.8459418,10,0.0767301172018051,SWB_GT,4,val,vap,0.0767301172018051
367,7,1726177089.4295416,8,0.0611012652516365,combined,0,val,vap,0.0611012652516365
372,2,1726203793.1855822,3,0.0619096234440803,combined,1,val,vap,0.0619096234440803
394,4,1726267847.679916,5,0.0601542480289936,combined,2,val,vap,0.0601542480289936
355,5,1726326514.3188543,6,0.0631571561098098,combined,3,val,vap,0.0631571561098098
384,4,1726374571.9820063,5,0.0635997503995895,combined,4,val,vap,0.0635997503995895
