,f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
0,0.8726227283477783,0.9306491017341614,0.4880046844482422,ekstedt_events,shift_hold_p_future_after,0.7499869959564269,SWB_GT
1,0.8793783783912659,0.9368023872375488,0.4987531304359436,ekstedt_events,shift_hold_p_future_after,0.762101118073978,SWB_GT
2,0.8783845901489258,0.9318544268608093,0.5239687561988831,ekstedt_events,shift_hold_p_future_after,0.7710815223491599,SWB_GT
3,0.8624225854873657,0.9314129948616028,0.40513166785240173,ekstedt_events,shift_hold_p_future_after,0.7170620409230407,SWB_GT
4,0.8787937164306641,0.9381499886512756,0.48536109924316406,ekstedt_events,shift_hold_p_future_after,0.7472734284955553,SWB_GT
0,0.8589659333229065,0.927973747253418,0.401559442281723,ekstedt_events,shift_hold_p_future_before,0.7093613371989564,SWB_GT
1,0.8650737404823303,0.9279456734657288,0.4483383595943451,ekstedt_events,shift_hold_p_future_before,0.7290083937679148,SWB_GT
2,0.8636483550071716,0.9291375875473022,0.42956411838531494,ekstedt_events,shift_hold_p_future_before,0.7376226315530113,SWB_GT
3,0.8493322730064392,0.9264774322509766,0.33798882365226746,ekstedt_events,shift_hold_p_future_before,0.6844826341264432,SWB_GT
4,0.8624930381774902,0.931214451789856,0.4069845676422119,ekstedt_events,shift_hold_p_future_before,0.714276609010844,SWB_GT
0,0.6993633508682251,0.7174472212791443,0.68210768699646,ekstedt_events,s_pred_p_future,0.7025824157538414,SWB_GT
1,0.7367959022521973,0.7511640191078186,0.7230857610702515,ekstedt_events,s_pred_p_future,0.7395322246310665,SWB_GT
2,0.7300528883934021,0.7348687648773193,0.7254575490951538,ekstedt_events,s_pred_p_future,0.7310553115015974,SWB_GT
3,0.6811670660972595,0.7012320160865784,0.6620209217071533,ekstedt_events,s_pred_p_future,0.6848827590141489,SWB_GT
4,0.7031444907188416,0.7280966639518738,0.6793349385261536,ekstedt_events,s_pred_p_future,0.7105351675414575,SWB_GT
0,0.8615935444831848,0.9310291409492493,0.40135136246681213,ekstedt_events,shift_hold_p_now_after,0.7317205923820944,SWB_GT
1,0.8596379160881042,0.9280851483345032,0.4059469997882843,ekstedt_events,shift_hold_p_now_after,0.7482808141078816,SWB_GT
2,0.862181544303894,0.9310586452484131,0.4056413769721985,ekstedt_events,shift_hold_p_now_after,0.748628415614708,SWB_GT
3,0.8534692525863647,0.9316397309303284,0.3353293538093567,ekstedt_events,shift_hold_p_now_after,0.6947967228441349,SWB_GT
4,0.8624565601348877,0.9293878078460693,0.41881442070007324,ekstedt_events,shift_hold_p_now_after,0.7421825165425122,SWB_GT
0,0.844802737236023,0.9229931831359863,0.3265306055545807,ekstedt_events,shift_hold_p_now_before,0.7019855634583638,SWB_GT
1,0.8446550965309143,0.9261890053749084,0.3042212426662445,ekstedt_events,shift_hold_p_now_before,0.7156516155128658,SWB_GT
2,0.8415928483009338,0.9220133423805237,0.3085399568080902,ekstedt_events,shift_hold_p_now_before,0.7144025429064995,SWB_GT
3,0.836300790309906,0.9210526347160339,0.27453768253326416,ekstedt_events,shift_hold_p_now_before,0.6700708172836058,SWB_GT
4,0.8456611037254333,0.9259087443351746,0.31375357508659363,ekstedt_events,shift_hold_p_now_before,0.7086909445315943,SWB_GT
0,0.8162403106689453,0.8191089630126953,0.8135030269622803,ekstedt_events,s_pred_p_now,0.8176447445991175,SWB_GT
1,0.847416877746582,0.847161591053009,0.847660481929779,ekstedt_events,s_pred_p_now,0.847996182298798,SWB_GT
2,0.8348965048789978,0.8321329355239868,0.8375335335731506,ekstedt_events,s_pred_p_now,0.8358471683401796,SWB_GT
3,0.7999439239501953,0.8017287850379944,0.7982407808303833,ekstedt_events,s_pred_p_now,0.8006439696485623,SWB_GT
4,0.8180079460144043,0.8154696226119995,0.8204300999641418,ekstedt_events,s_pred_p_now,0.8181136372280542,SWB_GT
0,0.6476500034332275,0.7302446961402893,0.47414422035217285,ekstedt_events,backchannel,0.6529697369056361,SWB_GT
1,0.6472275257110596,0.7351152300834656,0.4626028537750244,ekstedt_events,backchannel,0.6393790027437817,SWB_GT
2,0.6582456827163696,0.7347670197486877,0.49749821424484253,ekstedt_events,backchannel,0.6528752284042667,SWB_GT
3,0.6648296117782593,0.7527782917022705,0.4800766408443451,ekstedt_events,backchannel,0.6575668132193845,SWB_GT
4,0.653351902961731,0.7296478748321533,0.49307775497436523,ekstedt_events,backchannel,0.6367670584879589,SWB_GT
0,0.658930778503418,0.2928660809993744,0.7992181777954102,ekstedt_events,short_long,0.547800017746419,SWB_GT
1,0.639888346195221,0.23713354766368866,0.7942365407943726,ekstedt_events,short_long,0.5244370866499504,SWB_GT
2,0.6420924663543701,0.2727821469306946,0.7836236357688904,ekstedt_events,short_long,0.5427065277754405,SWB_GT
3,0.6825874447822571,0.34371107816696167,0.8124555349349976,ekstedt_events,short_long,0.5870842404150214,SWB_GT
4,0.63184654712677,0.19903911650180817,0.7977119088172913,ekstedt_events,short_long,0.5204357281309808,SWB_GT
0,0.6239675283432007,0.7011807560920715,0.5052631497383118,roddy_events,overlaps_before_p_now,0.6034106778386508,SWB_GT
1,0.631843626499176,0.6965453028678894,0.5323740839958191,roddy_events,overlaps_before_p_now,0.614402728542271,SWB_GT
2,0.6380406618118286,0.7353951930999756,0.4883720874786377,roddy_events,overlaps_before_p_now,0.614179825974863,SWB_GT
3,0.6235257387161255,0.7255574464797974,0.46666666865348816,roddy_events,overlaps_before_p_now,0.5964765280910946,SWB_GT
4,0.6251431703567505,0.7419087290763855,0.44563278555870056,roddy_events,overlaps_before_p_now,0.6080003222687722,SWB_GT
0,0.6486196517944336,0.7309734225273132,0.5220125913619995,roddy_events,overlaps_before_p_future,0.6293425717048018,SWB_GT
1,0.6672123074531555,0.7421944737434387,0.551937997341156,roddy_events,overlaps_before_p_future,0.6445321731657536,SWB_GT
2,0.681257426738739,0.7553191781044006,0.5673981308937073,roddy_events,overlaps_before_p_future,0.6581883123858632,SWB_GT
3,0.6444398760795593,0.753333330154419,0.47703179717063904,roddy_events,overlaps_before_p_future,0.6167445482866044,SWB_GT
4,0.6503604650497437,0.7361963391304016,0.5184000134468079,roddy_events,overlaps_before_p_future,0.6350064453754432,SWB_GT
0,0.630024790763855,0.7375527620315552,0.46471601724624634,roddy_events,overlaps_after_p_now,0.6023767321946504,SWB_GT
1,0.6360784769058228,0.7261592149734497,0.4975923001766205,roddy_events,overlaps_after_p_now,0.6105516167150069,SWB_GT
2,0.6333691477775574,0.7170818448066711,0.5046728849411011,roddy_events,overlaps_after_p_now,0.612101192394457,SWB_GT
3,0.622482180595398,0.7151621580123901,0.47999998927116394,roddy_events,overlaps_after_p_now,0.5992534106778387,SWB_GT
4,0.6420177221298218,0.7535269856452942,0.47058823704719543,roddy_events,overlaps_after_p_now,0.6139542378343539,SWB_GT
0,0.6777808666229248,0.731890857219696,0.5945945978164673,roddy_events,overlaps_after_p_future,0.6638387581909979,SWB_GT
1,0.6880342960357666,0.7684301733970642,0.564437210559845,roddy_events,overlaps_after_p_future,0.669446234826512,SWB_GT
2,0.6978678703308105,0.7641255855560303,0.5960061550140381,roddy_events,overlaps_after_p_future,0.6804382855301321,SWB_GT
3,0.6695563793182373,0.7493403553962708,0.5468998551368713,roddy_events,overlaps_after_p_future,0.6534885594585884,SWB_GT
4,0.6821489334106445,0.7477313876152039,0.5813252925872803,roddy_events,overlaps_after_p_future,0.6623455795466753,SWB_GT
0,0.8046563863754272,0.88416987657547,0.5818815231323242,roddy_events,overlap_spred_before_p_future,0.7335411140583554,SWB_GT
1,0.8133668899536133,0.8887814283370972,0.6020761132240295,roddy_events,overlap_spred_before_p_future,0.7495402298850575,SWB_GT
2,0.8177862167358398,0.8926336169242859,0.6080843806266785,roddy_events,overlap_spred_before_p_future,0.7359902740937223,SWB_GT
3,0.7895070314407349,0.8823807239532471,0.5293005704879761,roddy_events,overlap_spred_before_p_future,0.7220424403183023,SWB_GT
4,0.8041521906852722,0.869344174861908,0.6215022206306458,roddy_events,overlap_spred_before_p_future,0.7429664014146773,SWB_GT
0,0.8555524349212646,0.9251115322113037,0.463735431432724,gap_0,gap_0_p_future,0.731171616513447,SWB_GT
1,0.8634596467018127,0.9265375137329102,0.5081502199172974,gap_0,gap_0_p_future,0.7517771213181883,SWB_GT
2,0.8610238432884216,0.9278101325035095,0.4848257899284363,gap_0,gap_0_p_future,0.759350668115203,SWB_GT
3,0.845878541469574,0.9243383407592773,0.40392476320266724,gap_0,gap_0_p_future,0.7166255255046166,SWB_GT
4,0.8590983152389526,0.9224546551704407,0.5022206902503967,gap_0,gap_0_p_future,0.7427391607043946,SWB_GT
0,0.8487873673439026,0.9128724336624146,0.4878048896789551,gap_0,gap_0_p_now,0.7524729249064097,SWB_GT
1,0.851277768611908,0.9208025336265564,0.45965418219566345,gap_0,gap_0_p_now,0.7653020312920158,SWB_GT
2,0.8527254462242126,0.9143752455711365,0.5054602026939392,gap_0,gap_0_p_now,0.7643857209682527,SWB_GT
3,0.8402688503265381,0.911283016204834,0.4402558207511902,gap_0,gap_0_p_now,0.7272892802589929,SWB_GT
4,0.8552539348602295,0.918881356716156,0.49684908986091614,gap_0,gap_0_p_now,0.7632045508191343,SWB_GT
0,0.8407872915267944,0.8423707485198975,0.8393316268920898,gap_0,gap_0_s_pred_p_now,0.8429310159375083,SWB_GT
1,0.8619000911712646,0.8610755205154419,0.8626582026481628,gap_0,gap_0_s_pred_p_now,0.8635828038081167,SWB_GT
2,0.865084707736969,0.864189624786377,0.8659076690673828,gap_0,gap_0_s_pred_p_now,0.86631570188559,SWB_GT
