,f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
0,0.8176044225692749,0.8998237252235413,0.4761904776096344,ekstedt_events,shift_hold_p_future_after,0.6655856956448033,SWB_GT
1,0.8190833330154419,0.9011440277099609,0.4783281683921814,ekstedt_events,shift_hold_p_future_after,0.6663273606136437,SWB_GT
2,0.8219815492630005,0.8985593318939209,0.5039941668510437,ekstedt_events,shift_hold_p_future_after,0.683278730720599,SWB_GT
3,0.8027753829956055,0.8934054970741272,0.4264358878135681,ekstedt_events,shift_hold_p_future_after,0.6395840688420618,SWB_GT
4,0.8157274127006531,0.8981754183769226,0.4733637869358063,ekstedt_events,shift_hold_p_future_after,0.6645380331239433,SWB_GT
0,0.7977294325828552,0.8868871927261353,0.4275037348270416,ekstedt_events,shift_hold_p_future_before,0.6411579927182692,SWB_GT
1,0.7963178157806396,0.8892794251441956,0.41029641032218933,ekstedt_events,shift_hold_p_future_before,0.6315944999758935,SWB_GT
2,0.8006089329719543,0.8863804936408997,0.4444444477558136,ekstedt_events,shift_hold_p_future_before,0.6509574962790386,SWB_GT
3,0.7868436574935913,0.8873710036277771,0.3694060146808624,ekstedt_events,shift_hold_p_future_before,0.61132381461914,SWB_GT
4,0.7949773073196411,0.89214688539505,0.3914823830127716,ekstedt_events,shift_hold_p_future_before,0.6220076783223092,SWB_GT
0,0.8592321276664734,0.9250966310501099,0.5167058706283569,gap_0,shift_hold_p_future_after,0.6924452603761757,SWB_GT
1,0.8628731369972229,0.9262049198150635,0.5335182547569275,gap_0,shift_hold_p_future_after,0.7026555567045891,SWB_GT
2,0.8656478524208069,0.9264781475067139,0.5493021011352539,gap_0,shift_hold_p_future_after,0.7136942184340015,SWB_GT
3,0.8510349988937378,0.9217681884765625,0.48318925499916077,gap_0,shift_hold_p_future_after,0.6742084275832354,SWB_GT
4,0.8605823516845703,0.9256367087364197,0.5222691297531128,gap_0,shift_hold_p_future_after,0.695577601801391,SWB_GT
0,0.8327786326408386,0.9140500426292419,0.4101291000843048,gap_0,shift_hold_p_future_before,0.6373132094979139,SWB_GT
1,0.8404175043106079,0.9151108264923096,0.451977401971817,gap_0,shift_hold_p_future_before,0.6603091046967788,SWB_GT
2,0.8416776657104492,0.9128227829933167,0.47168970108032227,gap_0,shift_hold_p_future_before,0.6742244053073401,SWB_GT
3,0.8257877230644226,0.9073007106781006,0.4018823504447937,gap_0,shift_hold_p_future_before,0.635491689991589,SWB_GT
4,0.8374711871147156,0.9156818389892578,0.4307391047477722,gap_0,shift_hold_p_future_before,0.6477342820760476,SWB_GT
0,0.7857180833816528,0.8840000033378601,0.38947367668151855,gap_500,shift_hold_p_future_after,0.620003525455898,SWB_GT
1,0.7921535968780518,0.8888888955116272,0.40214475989341736,gap_500,shift_hold_p_future_after,0.6263127611525802,SWB_GT
2,0.7903619408607483,0.8840251564979553,0.4127388596534729,gap_500,shift_hold_p_future_after,0.6319185686205601,SWB_GT
3,0.7775600552558899,0.8811955451965332,0.3597315549850464,gap_500,shift_hold_p_future_after,0.6054665630463487,SWB_GT
4,0.786278486251831,0.8824711441993713,0.3984575867652893,gap_500,shift_hold_p_future_after,0.6245189914535411,SWB_GT
0,0.7721067070960999,0.8703374862670898,0.3760683834552765,gap_500,shift_hold_p_future_before,0.6124498481725833,SWB_GT
1,0.7875585556030273,0.8821752071380615,0.4060913622379303,gap_500,shift_hold_p_future_before,0.6284934440932538,SWB_GT
2,0.7831911444664001,0.8759532570838928,0.4092009663581848,gap_500,shift_hold_p_future_before,0.6304036203549624,SWB_GT
3,0.7716801762580872,0.8806339502334595,0.33240997791290283,gap_500,shift_hold_p_future_before,0.5930271360327091,SWB_GT
4,0.7824667096138,0.8886699676513672,0.35428571701049805,gap_500,shift_hold_p_future_before,0.6040724558791412,SWB_GT
0,0.7628830075263977,0.8726682662963867,0.32034632563591003,gap_750,shift_hold_p_future_after,0.5858007927509865,SWB_GT
1,0.7688686847686768,0.8747967481613159,0.34188035130500793,gap_750,shift_hold_p_future_after,0.5961100711015019,SWB_GT
2,0.7734076380729675,0.8737704753875732,0.3688524663448334,gap_750,shift_hold_p_future_after,0.609029627090639,SWB_GT
3,0.7608647346496582,0.8719611167907715,0.313043475151062,gap_750,shift_hold_p_future_after,0.582364366634148,SWB_GT
4,0.7717558741569519,0.8718159198760986,0.3684210479259491,gap_750,shift_hold_p_future_after,0.6086165528515306,SWB_GT
0,0.7668187618255615,0.8790678977966309,0.31435078382492065,gap_750,shift_hold_p_future_before,0.5848823617299901,SWB_GT
1,0.7780383229255676,0.8731929063796997,0.39447730779647827,gap_750,shift_hold_p_future_before,0.6223754405392816,SWB_GT
2,0.7696332335472107,0.8656964898109436,0.3824091851711273,gap_750,shift_hold_p_future_before,0.6155553211871929,SWB_GT
3,0.765407383441925,0.8749493956565857,0.32385119795799255,gap_750,shift_hold_p_future_before,0.5879320800485142,SWB_GT
4,0.7761189341545105,0.8833467364311218,0.3438914120197296,gap_750,shift_hold_p_future_before,0.598614882976947,SWB_GT
0,0.7577941417694092,0.8597561120986938,0.38255032896995544,gap_1000,shift_hold_p_future_after,0.6111953047503582,SWB_GT
1,0.7541401982307434,0.8513931632041931,0.3962264060974121,gap_1000,shift_hold_p_future_after,0.6175787133987288,SWB_GT
2,0.7535141706466675,0.8631578683853149,0.3499999940395355,gap_1000,shift_hold_p_future_after,0.5958383849516882,SWB_GT
3,0.7383344173431396,0.8653421401977539,0.2709163427352905,gap_1000,shift_hold_p_future_after,0.5632921856056431,SWB_GT
4,0.745094895362854,0.8554125428199768,0.33910036087036133,gap_1000,shift_hold_p_future_after,0.5887293802123517,SWB_GT
0,0.7419980764389038,0.8506097793579102,0.34228187799453735,gap_1000,shift_hold_p_future_before,0.589014107792351,SWB_GT
1,0.7663801312446594,0.8641221523284912,0.40666666626930237,gap_1000,shift_hold_p_future_before,0.624402990558066,SWB_GT
2,0.7466773986816406,0.8549734354019165,0.34812286496162415,gap_1000,shift_hold_p_future_before,0.5929635548697602,SWB_GT
3,0.749958872795105,0.8618618845939636,0.3381294906139374,gap_1000,shift_hold_p_future_before,0.5900244314633161,SWB_GT
4,0.7416166663169861,0.863703727722168,0.29230770468711853,gap_1000,shift_hold_p_future_before,0.5709706455049781,SWB_GT
