f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
0.8589659333,0.9279737473,0.4015594423,ekstedt_events,250,0.7093613372,SWB_GT
0.8650737405,0.9279456735,0.4483383596,ekstedt_events,250,0.7290083938,SWB_GT
0.863648355,0.9291375875,0.4295641184,ekstedt_events,250,0.7376226316,SWB_GT
0.849332273,0.9264774323,0.3379888237,ekstedt_events,250,0.6844826341,SWB_GT
0.8624930382,0.9312144518,0.4069845676,ekstedt_events,250,0.714276609,SWB_GT
0.8555524349,0.9251115322,0.4637354314,gap_0,0,0.7311716165,SWB_GT
0.8634596467,0.9265375137,0.5081502199,gap_0,0,0.7517771213,SWB_GT
0.8610238433,0.9278101325,0.4848257899,gap_0,0,0.7593506681,SWB_GT
0.8458785415,0.9243383408,0.4039247632,gap_0,0,0.7166255255,SWB_GT
0.8590983152,0.9224546552,0.5022206903,gap_0,0,0.7427391607,SWB_GT
0.7992662191,0.8904852867,0.4204809964,ekstedt_events,250,0.6937275556,SWB_ASR
0.8049765825,0.8889219165,0.4563953578,ekstedt_events,250,0.7101135885,SWB_ASR
0.8017144799,0.889936626,0.4353741407,ekstedt_events,250,0.7130384507,SWB_ASR
0.7858387232,0.8791826963,0.3982300758,ekstedt_events,250,0.6802300308,SWB_ASR
0.7998157144,0.8870131969,0.4377302825,ekstedt_events,250,0.7053939553,SWB_ASR
0.8412401676,0.9155484438,0.4548022747,gap_0,0,0.7232813835,SWB_ASR
0.8449501991,0.9128569365,0.4918032885,gap_0,0,0.7430087434,SWB_ASR
0.8427628875,0.9114860892,0.4853700399,gap_0,0,0.7411250818,SWB_ASR
0.8304013014,0.9077442288,0.4281818271,gap_0,0,0.7098178221,SWB_ASR
0.8428608179,0.9181422591,0.4513618648,gap_0,0,0.7262784154,SWB_ASR
0.722222209,0.7727272511,0.6428571343,ekstedt_events,250,0.7348484848,CND
0.7123129368,0.7669172883,0.6265060306,ekstedt_events,250,0.7121212121,CND
0.6887174845,0.7258064747,0.6304348111,ekstedt_events,250,0.7175324675,CND
0.7135558724,0.7633587718,0.6352941394,ekstedt_events,250,0.7002164502,CND
0.7209076881,0.776119411,0.6341463327,ekstedt_events,250,0.7077922078,CND
0.7816854715,0.8310810924,0.6835442781,gap_0,0,0.7722202858,CND
0.7693267465,0.8300653696,0.6486486197,gap_0,0,0.762068665,CND
0.7911043167,0.8615384698,0.6511628032,gap_0,0,0.7788428024,CND
0.7741735578,0.8327868581,0.657718122,gap_0,0,0.7521348902,CND
0.7822276354,0.840390861,0.6666666865,gap_0,0,0.7788428024,CND
