Fold,Event,corpus,f1,bal_acc
1,Shift/Hold future,SWB-GT,0.87,0.67
2,Shift/Hold future,SWB-GT,0.88,0.68
3,Shift/Hold future,SWB-GT,0.88,0.69
4,Shift/Hold future,SWB-GT,0.86,0.65
5,Shift/Hold future,SWB-GT,0.87,0.69
1,Shift/Hold now,SWB-GT,0.86,0.64
2,Shift/Hold now,SWB-GT,0.86,0.65
3,Shift/Hold now,SWB-GT,0.86,0.66
4,Shift/Hold now,SWB-GT,0.85,0.62
5,Shift/Hold now,SWB-GT,0.86,0.65
1,S-pred future ,SWB-GT,0.66,0.66
2,S-pred future ,SWB-GT,0.70,0.70
3,S-pred future ,SWB-GT,0.70,0.71
4,S-pred future ,SWB-GT,0.65,0.65
5,S-pred future ,SWB-GT,0.68,0.68
1,S-pred now,SWB-GT,0.75,0.75
2,S-pred now,SWB-GT,0.79,0.79
3,S-pred now,SWB-GT,0.78,0.78
4,S-pred now,SWB-GT,0.74,0.74
5,S-pred now,SWB-GT,0.76,0.76
1,backchannel,SWB-GT,0.69,0.65
2,backchannel,SWB-GT,0.69,0.65
3,backchannel,SWB-GT,0.70,0.65
4,backchannel,SWB-GT,0.71,0.66
5,backchannel,SWB-GT,0.69,0.64
1,short/long,SWB-GT,0.69,0.59
2,short/long,SWB-GT,0.66,0.56
3,short/long,SWB-GT,0.67,0.60
4,short/long,SWB-GT,0.72,0.65
5,short/long,SWB-GT,0.65,0.55
1,overlaps_after future,SWB-GT,0.72,0.70
2,overlaps_after future,SWB-GT,0.72,0.70
3,overlaps_after future,SWB-GT,0.72,0.71
4,overlaps_after future,SWB-GT,0.70,0.68
5,overlaps_after future,SWB-GT,0.71,0.69
1,overlaps_after now,SWB-GT,0.67,0.64
2,overlaps_after now,SWB-GT,0.68,0.66
3,overlaps_after now,SWB-GT,0.67,0.65
4,overlaps_after now,SWB-GT,0.67,0.65
5,overlaps_after now,SWB-GT,0.68,0.66
1,overlaps_before future,SWB-GT,0.64,0.62
2,overlaps_before future,SWB-GT,0.66,0.64
3,overlaps_before future,SWB-GT,0.67,0.64
4,overlaps_before future,SWB-GT,0.62,0.60
5,overlaps_before future,SWB-GT,0.64,0.62
1,overlaps_before now,SWB-GT,0.60,0.58
2,overlaps_before now,SWB-GT,0.60,0.57
3,overlaps_before now,SWB-GT,0.62,0.59
4,overlaps_before now,SWB-GT,0.59,0.57
5,overlaps_before now,SWB-GT,0.62,0.60
1,Shift/Hold future,SWB-ASR,0.80,0.63
2,Shift/Hold future,SWB-ASR,0.82,0.68
3,Shift/Hold future,SWB-ASR,0.81,0.66
4,Shift/Hold future,SWB-ASR,0.79,0.62
5,Shift/Hold future,SWB-ASR,0.81,0.65
1,Shift/Hold now,SWB-ASR,0.79,0.63
2,Shift/Hold now,SWB-ASR,0.79,0.64
3,Shift/Hold now,SWB-ASR,0.79,0.61
4,Shift/Hold now,SWB-ASR,0.77,0.59
5,Shift/Hold now,SWB-ASR,0.79,0.63
1,S-pred future ,SWB-ASR,0.72,0.72
2,S-pred future ,SWB-ASR,0.73,0.73
3,S-pred future ,SWB-ASR,0.73,0.73
4,S-pred future ,SWB-ASR,0.70,0.70
5,S-pred future ,SWB-ASR,0.72,0.72
1,S-pred now,SWB-ASR,0.76,0.75
2,S-pred now,SWB-ASR,0.78,0.78
3,S-pred now,SWB-ASR,0.79,0.79
4,S-pred now,SWB-ASR,0.75,0.75
5,S-pred now,SWB-ASR,0.75,0.75
1,backchannel,SWB-ASR,0.73,0.73
2,backchannel,SWB-ASR,0.75,0.75
3,backchannel,SWB-ASR,0.73,0.73
4,backchannel,SWB-ASR,0.76,0.76
5,backchannel,SWB-ASR,0.72,0.72
