,Wall time,Step,Value,run,fold,split,objective,batch_size,learning_rate,
0,1721189629,1,0.06281258911,SWB_ASR,3,train,vad,32,0.001,
1,1721191316,2,0.05674240738,SWB_ASR,3,train,vad,32,0.001,
2,1721193004,3,0.05562525988,SWB_ASR,3,train,vad,32,0.001,
3,1721194690,4,0.05500293896,SWB_ASR,3,train,vad,32,0.001,
4,1721196376,5,0.05451929197,SWB_ASR,3,train,vad,32,0.001,
5,1721198063,6,0.05411850289,SWB_ASR,3,train,vad,32,0.001,
6,1721199749,7,0.05378825963,SWB_ASR,3,train,vad,32,0.001,
7,1721201435,8,0.05347559974,SWB_ASR,3,train,vad,32,0.001,
8,1721203122,9,0.05321134999,SWB_ASR,3,train,vad,32,0.001,
9,1721204809,10,0.0529582873,SWB_ASR,3,train,vad,32,0.001,
0,1721172804,1,0.06295990199,SWB_ASR,2,train,vad,32,0.001,
1,1721174484,2,0.05704024434,SWB_ASR,2,train,vad,32,0.001,
2,1721176164,3,0.05609100685,SWB_ASR,2,train,vad,32,0.001,
3,1721177848,4,0.05546667427,SWB_ASR,2,train,vad,32,0.001,
4,1721179529,5,0.05496752635,SWB_ASR,2,train,vad,32,0.001,
5,1721181211,6,0.05453588814,SWB_ASR,2,train,vad,32,0.001,
6,1721182892,7,0.05416650698,SWB_ASR,2,train,vad,32,0.001,
7,1721184573,8,0.05381883308,SWB_ASR,2,train,vad,32,0.001,
8,1721186255,9,0.05351720378,SWB_ASR,2,train,vad,32,0.001,
9,1721187936,10,0.05320678279,SWB_ASR,2,train,vad,32,0.001,
0,1721206492,1,0.06274312735,SWB_ASR,4,train,vad,32,0.001,
1,1721208178,2,0.05677236989,SWB_ASR,4,train,vad,32,0.001,
2,1721209862,3,0.05568971485,SWB_ASR,4,train,vad,32,0.001,
3,1721211546,4,0.05506732315,SWB_ASR,4,train,vad,32,0.001,
4,1721213231,5,0.05462578312,SWB_ASR,4,train,vad,32,0.001,
5,1721214916,6,0.05426979065,SWB_ASR,4,train,vad,32,0.001,
6,1721216602,7,0.05396066606,SWB_ASR,4,train,vad,32,0.001,
7,1721218286,8,0.0536760278,SWB_ASR,4,train,vad,32,0.001,
8,1721219969,9,0.05343623832,SWB_ASR,4,train,vad,32,0.001,
9,1721221653,10,0.05315182358,SWB_ASR,4,train,vad,32,0.001,
0,1721139093,1,0.06366965175,SWB_ASR,0,train,vad,32,0.001,
1,1721140778,2,0.05789562315,SWB_ASR,0,train,vad,32,0.001,
2,1721142464,3,0.05695164949,SWB_ASR,0,train,vad,32,0.001,
3,1721144149,4,0.05626623705,SWB_ASR,0,train,vad,32,0.001,
4,1721145836,5,0.05573721603,SWB_ASR,0,train,vad,32,0.001,
5,1721147524,6,0.05539920554,SWB_ASR,0,train,vad,32,0.001,
6,1721149211,7,0.05505270511,SWB_ASR,0,train,vad,32,0.001,
7,1721150898,8,0.05476818606,SWB_ASR,0,train,vad,32,0.001,
8,1721152585,9,0.05455909297,SWB_ASR,0,train,vad,32,0.001,
9,1721154272,10,0.05429108813,SWB_ASR,0,train,vad,32,0.001,
0,1721155960,1,0.06266957521,SWB_ASR,1,train,vad,32,0.001,
1,1721157644,2,0.05658577755,SWB_ASR,1,train,vad,32,0.001,
2,1721159329,3,0.05557825044,SWB_ASR,1,train,vad,32,0.001,
3,1721161013,4,0.05496737733,SWB_ASR,1,train,vad,32,0.001,
4,1721162701,5,0.05449893698,SWB_ASR,1,train,vad,32,0.001,
5,1721164386,6,0.05416985229,SWB_ASR,1,train,vad,32,0.001,
6,1721166071,7,0.05386070162,SWB_ASR,1,train,vad,32,0.001,
7,1721167759,8,0.05359111354,SWB_ASR,1,train,vad,32,0.001,
8,1721169442,9,0.05333602428,SWB_ASR,1,train,vad,32,0.001,
9,1721171127,10,0.05311113223,SWB_ASR,1,train,vad,32,0.001,
0,1721189629,1,0.005037609953,SWB_ASR,3,train,vap,32,0.001,
1,1721191316,2,0.004464232363,SWB_ASR,3,train,vap,32,0.001,
2,1721193004,3,0.004341289867,SWB_ASR,3,train,vap,32,0.001,
